Trade #,Type,Date/Time,Signal,Price,Position size,Net P&L,Run-up,Drawdown,Cumulative P&L
1,Entry,"Jun 23, 2025 09:40",Long_1,2265.91 USDT,4.3,100.04 USDT,100.04 USDT,-19.07 USDT,100.04 USDT
1,Exit,"Jun 23, 2025 09:40",Long_1_TPSL,2289.20 USDT,4.3,100.04 USDT,100.04 USDT,-19.07 USDT,100.04 USDT
2,Entry,"Jun 25, 2025 09:41",Short_3,2462.92 USDT,6.29,-100.00 USDT,4.53 USDT,-100.00 USDT,0.04 USDT
2,Exit,"Jun 25, 2025 09:45",Short_3_TPSL,2442.83 USDT,6.29,-100.00 USDT,4.53 USDT,-100.00 USDT,0.04 USDT
3,Entry,"Jun 25, 2025 17:25",Short_4,2430.26 USDT,6.61,99.93 USDT,99.93 USDT,-49.54 USDT,99.98 USDT
3,Exit,"Jun 25, 2025 18:35",Short_4_TPSL,2415.15 USDT,6.61,99.93 USDT,99.93 USDT,-49.54 USDT,99.98 USDT
4,Entry,"Jun 25, 2025 21:15",Long_8,2418.80 USDT,4.09,100.00 USDT,100.00 USDT,-22.18 USDT,199.97 USDT
4,Exit,"Jun 25, 2025 21:45",Long_8_TPSL,2418.80 USDT,4.09,100.00 USDT,100.00 USDT,-22.18 USDT,199.97 USDT
5,Entry,"Jun 27, 2025 03:30",Short_11,2443.42 USDT,10.31,100.00 USDT,100.00 USDT,-1.96 USDT,299.97 USDT
5,Exit,"Jun 27, 2025 03:50",Short_11_TPSL,2445.72 USDT,10.31,100.00 USDT,100.00 USDT,-1.96 USDT,299.97 USDT
6,Entry,"Jun 27, 2025 22:00",Long_14,2417.59 USDT,12.39,99.88 USDT,99.88 USDT,-31.97 USDT,399.85 USDT
6,Exit,"Jun 28, 2025 01:00",Long_14_TPSL,2425.65 USDT,12.39,99.88 USDT,99.88 USDT,-31.97 USDT,399.85 USDT
7,Entry,"Jun 28, 2025 01:45",Short_15,2419.66 USDT,11.42,-100.00 USDT,11.53 USDT,-100.00 USDT,299.85 USDT
7,Exit,"Jun 28, 2025 03:00",Short_15_TPSL,2428.42 USDT,11.42,-100.00 USDT,11.53 USDT,-100.00 USDT,299.85 USDT
8,Entry,"Jun 28, 2025 13:00",Long_16,2436.83 USDT,27.1,100.00 USDT,100.27 USDT,-95.39 USDT,400.12 USDT
8,Exit,"Jun 28, 2025 13:40",Long_16_TPSL,2440.53 USDT,27.1,100.00 USDT,100.27 USDT,-95.39 USDT,400.12 USDT
9,Entry,"Jun 28, 2025 14:05",Short_20,2440.88 USDT,17.27,100.17 USDT,100.17 USDT,-18.48 USDT,500.29 USDT
9,Exit,"Jun 28, 2025 14:20",Short_20_TPSL,2435.08 USDT,17.27,100.17 USDT,100.17 USDT,-18.48 USDT,500.29 USDT
10,Entry,"Jun 29, 2025 06:00",Short_21,2448.29 USDT,13.23,-100.00 USDT,1.98 USDT,-100.00 USDT,400.29 USDT
10,Exit,"Jun 29, 2025 06:05",Short_21_TPSL,2455.85 USDT,13.23,-100.00 USDT,1.98 USDT,-100.00 USDT,400.29 USDT
11,Entry,"Jun 29, 2025 08:15",Short_22,2433.64 USDT,11.61,100.00 USDT,100.00 USDT,-40.88 USDT,500.29 USDT
11,Exit,"Jun 29, 2025 10:30",Short_22_TPSL,2445.03 USDT,11.61,100.00 USDT,100.00 USDT,-40.88 USDT,500.29 USDT
12,Entry,"Jun 29, 2025 13:40",Short_28,2432.95 USDT,14.47,-100.00 USDT,4.63 USDT,-100.00 USDT,400.29 USDT
12,Exit,"Jun 29, 2025 14:25",Short_28_TPSL,2439.86 USDT,14.47,-100.00 USDT,4.63 USDT,-100.00 USDT,400.29 USDT
13,Entry,"Jun 29, 2025 17:25",Long_31,2432.59 USDT,7.49,100.04 USDT,100.00 USDT,-16.85 USDT,500.29 USDT
13,Exit,"Jun 29, 2025 18:00",Long_31_TPSL,2445.94 USDT,7.49,100.04 USDT,100.00 USDT,-16.85 USDT,500.29 USDT
14,Entry,"Jun 30, 2025 11:30",Long_38,2462.83 USDT,4.13,100.04 USDT,100.04 USDT,-19.93 USDT,600.33 USDT
14,Exit,"Jun 30, 2025 11:45",Long_38_TPSL,2487.07 USDT,4.13,100.04 USDT,100.04 USDT,-19.93 USDT,600.33 USDT
15,Entry,"Jun 30, 2025 20:55",Long_39,2493.19 USDT,9.99,-100.10 USDT,76.02 USDT,-100.10 USDT,500.23 USDT
15,Exit,"Jun 30, 2025 22:50",Long_39_TPSL,2483.17 USDT,9.99,-100.10 USDT,76.02 USDT,-100.10 USDT,500.23 USDT
16,Entry,"Jul 02, 2025 18:50",Short_40,2594.98 USDT,4.79,100.00 USDT,100.00 USDT,-22.18 USDT,600.23 USDT
16,Exit,"Jul 02, 2025 19:50",Short_40_TPSL,2574.11 USDT,4.79,100.00 USDT,100.00 USDT,-22.18 USDT,600.23 USDT
17,Entry,"Jul 03, 2025 21:20",Long_41,2596.83 USDT,12.05,-100.00 USDT,76.38 USDT,-100.00 USDT,500.23 USDT
17,Exit,"Jul 03, 2025 21:40",Long_41_TPSL,2588.53 USDT,12.05,-100.00 USDT,76.38 USDT,-100.00 USDT,500.23 USDT
18,Entry,"Jul 04, 2025 22:40",Long_42,2512.64 USDT,19.65,99.80 USDT,99.80 USDT,-2.55 USDT,600.04 USDT
18,Exit,"Jul 04, 2025 22:45",Long_42_TPSL,2517.72 USDT,19.65,99.80 USDT,99.80 USDT,-2.55 USDT,600.04 USDT
19,Entry,"Jul 05, 2025 13:00",Long_43,2505.66 USDT,11.99,-100.12 USDT,71.94 USDT,-100.12 USDT,499.92 USDT
19,Exit,"Jul 05, 2025 13:20",Long_43_TPSL,2497.31 USDT,11.99,-100.12 USDT,71.94 USDT,-100.12 USDT,499.92 USDT
20,Entry,"Jul 06, 2025 18:35",Short_44,2587.52 USDT,8.57,100.08 USDT,100.08 USDT,-27.25 USDT,600.00 USDT
20,Exit,"Jul 06, 2025 19:00",Short_44_TPSL,2575.84 USDT,8.57,100.08 USDT,100.08 USDT,-27.25 USDT,600.00 USDT
